objID,ra,dec,z,g,r,i
1.23765E+18,269.9946229,0.059997959,23.04971,25.69818,22.83295,22.50616
1.23765E+18,270.0438505,0.042001826,20.67881,24.05569,22.64188,21.13187
1.23765E+18,270.0440572,0.042513419,20.28942,22.84967,21.77437,21.16553
1.23765E+18,269.9894806,0.060800441,22.89786,22.05754,24.85592,19.65229
1.23765E+18,269.9988626,0.062475962,19.52294,22.16839,20.73763,19.93429
1.23765E+18,270.0487832,0.039104402,17.68487,19.56114,18.42739,18.00153
1.23765E+18,270.0586084,0.02498322,18.93243,20.61499,19.30868,18.87361
1.23765E+18,270.0603293,0.021928613,18.93556,21.05993,19.88834,19.23712
1.23765E+18,270.0639562,0.010318498,21.47021,24.77257,23.59284,22.01122
1.23765E+18,270.0314652,0.056643392,17.71704,19.15798,18.31314,17.9578
1.23765E+18,269.9910281,0.06453383,19.9291,21.47756,20.53025,20.16379
1.23765E+18,270.0412464,0.051355998,21.29158,18.11479,16.83017,16.4471
1.23765E+18,270.0391155,0.053558582,22.8269,25.07296,22.33798,21.07386
1.23765E+18,269.9846033,0.064708849,19.20687,20.80852,19.80982,19.34953
1.23765E+18,269.9777601,0.062822874,23.11673,24.30263,23.70228,22.36129
1.23765E+18,269.9911732,0.066511583,21.24369,24.60456,22.36293,21.5551
1.23765E+18,270.0615581,0.028591642,22.96187,20.23617,19.24322,19.09702
1.23765E+18,270.0174573,0.066197371,20.43542,22.50087,20.70656,20.1839
1.23765E+18,270.04242,0.054793727,18.15093,19.72618,21.23729,24.3618
1.23765E+18,270.0654997,0.023121395,19.1905,20.82292,19.80676,19.38146
1.23765E+18,270.0588828,0.038641556,21.96947,24.59891,22.85886,21.59867
1.23765E+18,270.0311078,0.063431051,18.69293,22.0989,20.54363,19.38294
1.23765E+18,270.0621456,0.033604443,22.5312,23.30035,21.71667,21.69459
1.23765E+18,270.0298485,0.064074502,18.79599,21.43474,19.86813,19.16463
1.23765E+18,270.0456195,0.054786969,16.50716,20.40092,28.18478,16.84039
